,id,brand_id,forum_topic_id,organization_id,problem_id,requester_id,submitter_id,created_at,description,due,external_id,followup_ids,priority,public,recipient,status,subject,type,updated_at,via_channel,via_followup_source_id,merged_ticket_ids
10,11,514,2,2,514,207,77,2021-10-12 17:32:28,Quisquam non dolore adipisci quiquia numquam. Ipsum modi modi magnam eius adipisci sit dolorem. Quaerat dolor aliquam tempora tempora quaerat quisquam. Quisquam magnam numquam etincidunt aliquam aliquam quiquia. Ut dolor magnam porro tempora modi. Labore labore est adipisci quaerat dolorem. Modi est eius velit quaerat sit adipisci.,2022-05-01 15:57:09,,,urgent,True,sandrabarnes@hotmail.com,pending,Voluptatem consectetur ut ipsum. Eius est etincidunt ipsum quiquia tempora. Aliquam sit tempora ut ut numquam etincidunt. Ut etincidunt neque porro labore magnam. Sed velit neque sit velit tempora. Dolor quaerat velit ut dolorem amet.,question,2022-01-21 09:36:52,chat,,
11,12,514,5,3,514,551,705,2022-04-24 01:14:58,Tempora adipisci dolore eius dolor dolore. Est quaerat quisquam sed labore aliquam amet non. Velit etincidunt sit neque modi. Amet quaerat sed quisquam. Sit porro ut amet non sit dolore ipsum. Voluptatem ipsum tempora numquam dolorem etincidunt ipsum numquam. Aliquam dolorem modi dolore dolor velit numquam dolorem. Ut voluptatem etincidunt est. Ipsum sit consectetur tempora sit.,2022-05-16 02:09:23,,,low,False,theresanorman@farrell.info,new,Sit numquam porro voluptatem velit dolore numquam etincidunt. Quaerat quisquam non aliquam velit velit ipsum ut. Tempora sit ut velit velit sit numquam voluptatem. Labore labore sit dolor ut. Quaerat numquam etincidunt consectetur ipsum. Est sit porro dolor modi numquam ut modi. Aliquam eius aliquam ipsum amet non neque.,incident,2022-09-13 15:37:17,mail,,
12,13,514,3,3,514,268,232,2022-04-29 16:25:40,Amet quisquam dolorem voluptatem non magnam. Modi labore consectetur numquam. Velit numquam voluptatem porro etincidunt aliquam ut aliquam. Sed labore ipsum consectetur tempora quisquam ut consectetur. Voluptatem dolore quiquia non quaerat porro ipsum. Tempora quaerat quiquia tempora ipsum. Labore dolore adipisci neque.,2022-09-22 13:36:28,,,normal,True,schmidtcalvin@hotmail.com,solved,Dolor amet tempora ipsum eius numquam. Quiquia voluptatem voluptatem porro voluptatem porro non quaerat. Modi porro ut numquam aliquam. Adipisci numquam porro dolore. Dolorem dolore quaerat quaerat quaerat etincidunt. Aliquam modi non non quisquam consectetur dolore. Est eius neque etincidunt etincidunt dolore.,task,2022-05-15 05:21:18,mail,,
13,14,514,1,5,514,459,925,2021-02-20 23:27:21,Etincidunt etincidunt etincidunt ipsum porro dolorem. Eius labore amet tempora. Dolor etincidunt dolorem eius. Sed numquam neque velit modi modi. Etincidunt quiquia dolore modi. Magnam velit etincidunt ipsum. Dolor quaerat neque sed dolore numquam aliquam.,2021-09-20 23:47:49,,,high,True,pattyrubio@yahoo.com,open,Consectetur etincidunt sed tempora etincidunt numquam quiquia non. Neque numquam porro neque tempora non quiquia. Velit eius quisquam labore quiquia tempora. Tempora dolore quiquia quaerat consectetur. Quaerat quaerat neque modi dolor modi. Tempora sit voluptatem quiquia voluptatem est quaerat dolor. Dolor quisquam neque voluptatem sed neque dolor modi. Velit quaerat aliquam numquam porro labore magnam. Voluptatem magnam porro labore amet sed amet. Ipsum velit modi dolore quiquia dolorem adipisci.,problem,2021-11-16 16:48:30,web_form,,
14,15,514,2,2,514,759,759,2022-08-31 08:38:55,Magnam sed eius amet neque neque. Tempora numquam voluptatem est numquam dolorem voluptatem dolore. Magnam quisquam quaerat eius consectetur dolorem modi velit. Tempora etincidunt dolore quaerat voluptatem. Quiquia voluptatem ut dolor. Tempora etincidunt magnam dolor aliquam modi. Velit voluptatem labore sit quisquam quisquam quisquam sit. Sed quiquia adipisci tempora ipsum dolore etincidunt. Adipisci consectetur ut dolorem tempora ut.,2022-11-16 20:56:46,,,high,True,williamturner@martin-campbell.net,open,Eius neque porro dolore modi consectetur. Non dolore velit magnam neque aliquam etincidunt dolore. Sit porro porro ut consectetur numquam eius. Aliquam porro labore voluptatem adipisci neque. Est voluptatem etincidunt amet. Labore numquam ipsum modi dolore quisquam magnam consectetur.,task,2023-06-17 20:55:13,web_form,,
15,16,514,1,2,514,858,846,2022-03-10 10:35:41,Neque sit consectetur non numquam est sit quisquam. Eius porro dolor quaerat numquam adipisci est etincidunt. Consectetur aliquam ipsum dolor. Neque dolor quaerat quaerat modi eius. Labore consectetur quaerat modi velit.,2022-10-29 10:14:59,,,urgent,False,michael18@richardson.com,open,Non sit adipisci labore dolor. Consectetur sed non sed numquam modi adipisci. Est neque labore tempora eius neque. Sed etincidunt modi sed non aliquam. Tempora aliquam magnam amet labore dolore sed. Sit magnam consectetur velit quisquam. Consectetur quiquia eius quiquia non quisquam sit sit.,question,2023-02-25 12:49:14,web_form,,
16,17,514,1,4,514,33,856,2021-04-30 10:20:07,Adipisci ut quaerat adipisci magnam magnam. Dolore eius ut velit ipsum velit non. Dolorem adipisci sed modi quiquia non dolorem. Voluptatem quaerat eius consectetur labore. Dolor eius quisquam neque quisquam.,2021-06-16 06:05:28,,,low,True,jeffery12@gmail.com,pending,Est etincidunt ut eius consectetur neque dolore. Ut etincidunt consectetur dolor tempora. Eius dolorem amet velit neque. Numquam porro neque aliquam eius etincidunt. Dolore neque voluptatem numquam sed voluptatem velit magnam. Quaerat quaerat amet tempora dolorem numquam ipsum. Dolore quiquia non dolor dolore tempora tempora. Eius tempora dolore consectetur est consectetur. Consectetur sit porro ut quiquia. Dolorem velit dolorem eius voluptatem.,problem,2021-09-29 09:53:08,facebook_message,,
17,18,514,2,2,514,691,955,2022-08-14 13:48:32,Numquam quiquia non adipisci ipsum magnam. Adipisci non sit ipsum. Sit ut ut numquam amet sit. Aliquam labore dolor labore modi etincidunt. Voluptatem ipsum adipisci porro quaerat velit. Amet quisquam dolore ipsum consectetur magnam ipsum. Quiquia porro numquam aliquam.,2023-04-11 18:30:05,,,low,True,simonanthony@gmail.com,new,Adipisci modi quiquia adipisci est. Etincidunt dolore tempora ut tempora non tempora neque. Etincidunt quiquia dolorem porro porro quaerat porro. Ut ipsum ut labore numquam. Modi quiquia ipsum aliquam amet sed non sed. Adipisci amet voluptatem non ipsum voluptatem porro. Numquam dolor quiquia neque adipisci. Ut velit aliquam ut. Quiquia velit dolore dolore etincidunt quisquam voluptatem est. Est magnam non quiquia sit aliquam.,task,2023-07-04 16:17:17,web_form,,
18,19,514,4,5,514,41,634,2021-10-16 08:44:49,Quiquia tempora est numquam magnam dolore aliquam. Non non ut magnam sit sit dolor porro. Consectetur voluptatem sit aliquam. Ut adipisci porro quaerat eius. Labore dolore labore aliquam non numquam. Numquam numquam consectetur quisquam.,2022-09-03 05:20:46,,,urgent,False,esmith@knox-clements.com,pending,Tempora labore sit velit ut dolorem voluptatem porro. Adipisci quaerat quisquam quisquam voluptatem. Ut non quiquia eius quaerat velit est. Quaerat non consectetur tempora. Magnam modi dolor ipsum.,question,2022-10-11 08:06:36,facebook_message,,
19,20,514,1,5,514,199,433,2022-01-26 02:01:04,Modi adipisci magnam non. Etincidunt voluptatem labore adipisci quaerat adipisci numquam. Aliquam quisquam est porro. Voluptatem modi magnam consectetur dolore sit. Tempora modi aliquam adipisci adipisci. Neque ipsum ipsum dolore numquam. Labore sit sit magnam amet.,2022-11-21 13:45:31,,,normal,False,jamesriggs@hotmail.com,new,Magnam voluptatem modi voluptatem est etincidunt magnam quiquia. Etincidunt adipisci sit dolorem. Quisquam quaerat dolor quaerat quisquam eius porro numquam. Neque ipsum modi ut ipsum ipsum dolorem. Ut magnam velit porro voluptatem modi.,question,2022-08-31 15:25:44,helpcenter,,
20,21,514,2,1,514,287,412,2021-12-29 13:56:42,Eius magnam tempora sed modi voluptatem. Est numquam quisquam dolor. Eius modi porro quaerat tempora sed consectetur neque. Magnam quisquam modi ut sed quiquia. Quiquia sed quisquam quaerat dolor consectetur ipsum. Consectetur voluptatem sit ut neque. Adipisci aliquam sed sit sit etincidunt amet porro. Ut quaerat quisquam etincidunt.,2022-11-14 12:47:33,,,normal,False,michael34@yahoo.com,on-hold,Ipsum eius magnam eius velit modi. Ipsum dolorem tempora neque. Dolor numquam non quisquam ipsum. Sit sed sed velit. Quiquia labore quisquam etincidunt non non etincidunt. Sit dolore est ut ut sit porro est. Velit amet numquam eius dolor. Non magnam porro tempora quiquia. Dolorem quiquia tempora velit ut aliquam numquam adipisci. Consectetur voluptatem consectetur consectetur non aliquam non.,incident,2022-03-12 00:34:21,helpcenter,,
21,22,514,5,2,514,663,876,2021-05-15 03:19:39,Dolorem non numquam amet velit ipsum. Dolorem quiquia voluptatem aliquam. Dolore non etincidunt non numquam etincidunt sit consectetur. Amet porro amet ut amet. Quaerat quisquam quisquam non labore dolorem magnam.,2021-08-28 20:06:45,,,high,True,josesalas@hernandez.org,new,Adipisci labore velit sed sed. Tempora dolorem consectetur amet sit neque. Labore aliquam labore voluptatem modi sit. Dolor quiquia quiquia neque neque. Adipisci aliquam dolorem tempora. Non aliquam sit ipsum neque non labore. Amet ipsum sit amet modi numquam quiquia porro. Non consectetur numquam non non. Amet porro numquam amet.,incident,2022-02-03 04:33:38,web_form,,
22,23,514,4,2,514,124,154,2021-07-04 20:44:07,Eius neque tempora quisquam voluptatem. Porro etincidunt numquam non magnam voluptatem. Voluptatem modi voluptatem quisquam aliquam. Dolore dolore ut aliquam dolore non dolorem. Neque neque voluptatem dolorem velit quiquia dolor dolore. Porro eius quisquam magnam quaerat est velit aliquam. Dolorem sed eius dolore dolor eius.,2021-08-15 05:14:18,,,normal,False,travis05@bradley.net,open,Ipsum est sed amet. Ipsum tempora neque numquam est ipsum ut. Adipisci non magnam modi sit adipisci quaerat. Dolore tempora tempora est eius. Quiquia voluptatem consectetur etincidunt ut quaerat. Adipisci quiquia quiquia magnam aliquam dolore non. Quisquam voluptatem velit dolorem etincidunt dolor quiquia quaerat. Eius est non consectetur neque.,incident,2022-05-22 22:30:25,mail,,
23,24,514,2,4,514,588,981,2021-04-10 08:54:44,Numquam quiquia sit quisquam est dolore. Magnam etincidunt est porro aliquam porro dolorem adipisci. Magnam tempora quaerat est velit quisquam porro. Numquam ut ipsum dolore aliquam. Etincidunt voluptatem dolore dolor quaerat. Tempora aliquam est dolorem etincidunt sed numquam eius. Voluptatem quisquam quiquia quisquam etincidunt labore quisquam amet. Ipsum non velit numquam dolor quisquam.,2021-10-09 18:18:35,,,high,True,anguyen@george-meyer.com,new,Sed ut amet quisquam. Dolore amet quiquia voluptatem dolore sit velit labore. Etincidunt dolor ut modi porro labore numquam. Ipsum quiquia modi dolorem numquam. Velit ipsum neque non quaerat dolore est magnam. Dolorem magnam tempora dolorem aliquam. Neque porro sed ut voluptatem adipisci magnam.,question,2021-06-30 23:37:32,helpcenter,,
24,25,514,5,1,514,292,112,2021-08-15 02:44:23,Labore tempora dolore quisquam. Aliquam numquam amet aliquam labore aliquam quisquam tempora. Aliquam labore dolor aliquam quisquam. Etincidunt etincidunt porro quiquia amet quaerat neque amet. Etincidunt adipisci velit magnam sit dolor. Magnam est non quaerat. Magnam quiquia dolore voluptatem tempora dolor. Dolorem ipsum quiquia etincidunt aliquam voluptatem.,2022-02-01 08:26:37,,,normal,True,moraandrea@gmail.com,solved,Consectetur tempora tempora non est. Modi quaerat amet sed voluptatem consectetur. Magnam tempora quiquia etincidunt. Est adipisci porro adipisci numquam. Sed voluptatem ut numquam consectetur dolore. Est eius modi quisquam. Velit quaerat magnam ipsum sit neque amet sit.,problem,2021-11-11 18:29:26,chat,,
25,26,514,3,4,514,469,589,2022-09-21 01:17:22,Est modi ut non porro. Modi porro quisquam quaerat est modi non dolore. Quiquia adipisci dolore neque velit dolorem dolore. Modi etincidunt quisquam consectetur sit non labore. Modi amet dolorem amet porro. Numquam quisquam magnam neque voluptatem dolorem. Quisquam voluptatem tempora neque.,2023-01-16 06:27:10,,,low,False,rossnicole@lin.org,pending,Ut quaerat voluptatem aliquam dolore. Modi non quiquia numquam labore dolorem porro sit. Ipsum quaerat porro quisquam tempora est numquam quiquia. Sed ut eius dolorem non non consectetur. Quisquam porro numquam sed velit adipisci quaerat. Est modi eius sed dolor tempora eius. Adipisci numquam porro velit neque quaerat. Etincidunt etincidunt quiquia est ipsum neque voluptatem.,incident,2022-12-04 11:25:53,mail,,
26,27,514,3,2,514,965,537,2021-01-27 13:04:32,Numquam voluptatem sit dolore numquam velit aliquam sed. Dolorem est consectetur ut. Labore est quaerat dolor magnam labore. Consectetur consectetur consectetur quisquam. Dolore velit quiquia porro voluptatem. Magnam eius adipisci velit consectetur dolorem.,2021-10-28 08:56:27,,,normal,False,ian86@gmail.com,new,Ut quiquia quaerat consectetur adipisci modi etincidunt quisquam. Porro dolor adipisci ut. Non est est dolorem modi dolorem. Est etincidunt dolor quaerat etincidunt sed non adipisci. Aliquam tempora tempora quaerat quaerat consectetur porro. Neque magnam ipsum est neque sed dolore. Voluptatem non dolorem ut quisquam dolorem ipsum amet. Neque voluptatem non eius amet dolorem non. Quaerat est quisquam sed dolor. Quisquam quaerat quaerat eius.,incident,2021-04-01 02:37:59,chat,,
27,28,514,4,3,514,576,774,2022-01-29 01:41:00,Dolor eius voluptatem non aliquam. Consectetur dolor aliquam ut porro. Dolor magnam dolor velit ut. Etincidunt ut dolore non magnam labore. Numquam sit numquam eius est. Ut ut porro eius. Adipisci quiquia dolore adipisci.,2022-12-07 07:33:05,,,high,True,zkennedy@miranda.com,on-hold,Labore consectetur eius est numquam neque. Ipsum etincidunt quisquam velit ut. Porro tempora magnam labore eius est dolore. Eius neque velit amet ut. Tempora aliquam ipsum magnam quaerat. Modi numquam neque quiquia ut labore quiquia neque. Dolore non porro magnam dolore eius. Eius dolor quiquia ut porro dolore neque. Etincidunt aliquam adipisci est non. Dolore adipisci eius dolor.,problem,2022-11-29 18:02:47,facebook_message,,
28,29,514,5,4,514,773,35,2022-06-25 15:48:05,Est ut sit sit modi magnam. Velit quaerat est quaerat quiquia quisquam est. Labore voluptatem sit quiquia consectetur quiquia neque dolore. Ut adipisci amet numquam quiquia amet magnam. Magnam tempora adipisci non. Quiquia magnam sit neque sed labore dolorem velit. Non porro eius velit neque quaerat amet etincidunt. Aliquam neque dolorem labore. Eius dolore dolor sit sed amet.,2022-12-04 08:06:41,,,low,False,rgeorge@yahoo.com,open,Quisquam dolor non tempora. Voluptatem etincidunt eius non porro neque. Numquam modi magnam numquam sit dolore. Dolor porro aliquam neque ipsum voluptatem consectetur. Eius eius sit ut neque velit. Consectetur est est numquam. Porro quiquia quaerat neque dolorem labore eius. Voluptatem tempora etincidunt magnam sit. Ipsum quisquam quaerat quiquia.,question,2023-03-05 19:28:45,chat,,
29,30,514,4,2,514,690,77,2022-06-29 19:49:25,Consectetur neque voluptatem sit numquam voluptatem dolore. Est sed numquam quisquam tempora magnam dolor ut. Dolore etincidunt dolorem non dolor. Amet est non eius. Ipsum sit non modi adipisci dolor numquam etincidunt. Quisquam numquam magnam numquam. Neque neque velit ipsum. Quisquam voluptatem numquam numquam neque. Adipisci dolore ipsum magnam labore non.,2023-01-04 12:30:49,,,high,True,jasonmiller@morrow-cook.biz,open,Quiquia voluptatem voluptatem velit quiquia etincidunt sit aliquam. Sed voluptatem consectetur non etincidunt magnam eius. Sit voluptatem non quiquia ipsum amet ut. Sed porro quisquam sed amet magnam voluptatem. Non quiquia consectetur non est porro neque. Quisquam numquam dolore magnam. Velit quiquia quiquia numquam eius aliquam non. Ipsum est aliquam ut quisquam neque. Quaerat etincidunt sit dolorem magnam sed quisquam magnam. Numquam aliquam dolor quiquia consectetur ut est ut.,incident,2023-04-14 15:41:33,chat,,
30,31,514,2,1,514,885,188,2022-02-25 11:41:32,Etincidunt etincidunt modi voluptatem adipisci ut dolorem. Modi aliquam eius labore ipsum porro dolore. Eius neque labore adipisci dolore tempora sit ipsum. Numquam velit eius tempora sed labore. Eius tempora neque voluptatem consectetur modi velit tempora. Tempora labore ipsum magnam est aliquam. Quiquia amet tempora modi porro. Magnam ut modi dolor tempora numquam sit. Est quisquam etincidunt est voluptatem etincidunt. Sed ipsum amet ipsum voluptatem numquam tempora modi.,2022-05-07 02:36:44,,,low,False,hallcarl@anderson.biz,pending,Dolore tempora amet sit labore aliquam amet. Amet adipisci sit est magnam numquam neque tempora. Dolorem velit aliquam amet dolorem adipisci est etincidunt. Eius labore est non dolore adipisci. Amet amet quaerat velit aliquam est. Eius numquam velit amet porro porro. Eius velit tempora dolore. Tempora consectetur sit quiquia. Numquam dolorem ipsum modi amet modi quisquam non.,task,2022-06-24 13:35:11,web_form,,
31,32,514,4,5,514,158,556,2021-05-12 13:57:30,Voluptatem numquam sed tempora sed voluptatem labore quisquam. Quisquam eius aliquam dolor neque ipsum dolor modi. Est ut quaerat voluptatem. Etincidunt sit est porro quaerat velit quiquia etincidunt. Dolore dolor eius dolor amet porro. Dolor porro sit consectetur numquam quiquia quiquia. Sit quisquam dolor ut ut dolorem aliquam amet.,2021-10-08 14:28:02,,,urgent,False,nmartinez@smith.com,pending,Amet modi dolore ipsum modi. Magnam neque ut neque quiquia non dolore sed. Voluptatem magnam porro numquam amet amet velit dolorem. Quiquia est etincidunt modi. Quisquam neque voluptatem dolor ut quisquam.,question,2022-05-05 01:16:36,web_form,,
32,33,514,2,4,514,704,976,2021-03-27 06:15:18,Neque tempora eius etincidunt ut. Modi dolorem porro non non consectetur etincidunt est. Sed sed sed sit non. Tempora modi modi ut. Porro sit magnam est dolore sit quisquam eius. Consectetur amet consectetur eius. Tempora aliquam sit quisquam. Numquam est sed dolor voluptatem numquam sit eius. Labore aliquam porro adipisci labore porro.,2022-01-19 22:12:26,,,high,False,benjamin57@manning.net,new,Numquam dolorem velit aliquam aliquam porro modi. Quisquam velit porro neque. Sit quisquam adipisci numquam labore velit etincidunt. Dolore etincidunt amet quaerat consectetur. Sit modi ut non labore. Quaerat quiquia adipisci porro quiquia sed etincidunt dolorem. Adipisci quisquam numquam sit tempora. Porro labore amet neque neque est. Non adipisci quiquia modi etincidunt dolor. Etincidunt etincidunt quisquam consectetur dolore numquam sed.,question,2022-01-08 05:19:55,chat,,
33,34,514,3,4,514,830,828,2022-09-11 22:57:42,Sed quaerat tempora consectetur quiquia quaerat aliquam consectetur. Dolore non modi est consectetur voluptatem. Porro ipsum non sit quiquia sed. Amet est modi porro neque. Ipsum magnam aliquam etincidunt ut magnam. Eius numquam eius voluptatem neque tempora porro non. Sit dolorem dolor dolor ut aliquam amet est.,2022-10-06 04:30:58,,,urgent,False,sarah65@hotmail.com,new,Sit amet aliquam aliquam modi. Est ut quiquia neque est. Velit modi quaerat est eius ut porro. Non neque ipsum labore. Adipisci non eius sed est. Quaerat quaerat etincidunt etincidunt. Aliquam dolorem amet non adipisci amet quisquam.,question,2022-10-30 03:25:11,web_form,,
34,35,514,5,2,514,604,278,2022-09-14 12:29:12,Eius dolor consectetur modi tempora consectetur. Velit etincidunt dolorem sit non consectetur. Quiquia adipisci eius dolore magnam. Neque sed sit consectetur aliquam neque. Est dolorem numquam sed sed sed consectetur non. Tempora voluptatem aliquam neque sit dolorem magnam ut. Non dolor quisquam quaerat velit amet etincidunt tempora.,2022-11-20 22:11:54,,,high,True,thorntonjulie@gmail.com,new,Neque dolor amet ipsum adipisci. Numquam quiquia porro est dolor eius labore porro. Neque sit quiquia amet tempora adipisci non voluptatem. Porro numquam amet labore dolorem etincidunt. Quisquam magnam porro quaerat quisquam quiquia.,task,2023-01-19 22:47:38,facebook_message,,
